   X       Y         Z      JointType
-0.3816549 0.1525185 1.985882 10
-0.3971643 0.1126302 1.988074 11
-0.6563779 0.1331684 2.028185 12
-0.6456934 -0.2136682 2.141471 13
-0.6288924 -0.532001 2.223054 14
-0.6245421 -0.5973521 2.159744 15
-0.5168674 0.1340406 2.040788 16
-0.5300158 -0.2289315 2.159538 17
-0.5497022 -0.5509734 2.236488 18
-0.5453134 -0.5930701 2.15569 19
-0.5866227 0.646296 2.014789 20
-0.781862 0.06670073 1.995187 21
-0.8125709 0.09878114 1.986 22
-0.3927636 0.02455051 2.000683 23
-0.5961706 0.1357726 2.067583 0
-0.5918934 0.4312778 2.040766 1
-0.5841074 0.7159134 2.003673 2
-0.5992521 0.8645434 1.999898 3
-0.7498369 0.6071967 2.008717 4
-0.7879385 0.3537649 2.021038 5
-0.7832408 0.1534452 1.97927 6
-0.7725208 0.117322 1.983435 7
-0.4268806 0.6007281 2.01471 8
-0.3870913 0.3525303 2.030799 9
-0.3816549 0.1525185 1.985882 10
-0.3971643 0.1126302 1.988074 11
-0.6563779 0.1331684 2.028185 12
-0.6456934 -0.2136682 2.141471 13
-0.6288924 -0.532001 2.223054 14
-0.6245421 -0.5973521 2.159744 15
-0.5168674 0.1340406 2.040788 16
-0.5300158 -0.2289315 2.159538 17
-0.5497022 -0.5509734 2.236488 18
-0.5453134 -0.5930701 2.15569 19
-0.5866227 0.646296 2.014789 20
-0.781862 0.06670073 1.995187 21
-0.8125709 0.09878114 1.986 22
-0.3927636 0.02455051 2.000683 23
-0.4352805 0.1168595 1.958325 24
-0.5956271 0.1358322 2.068462 0
-0.5914801 0.4315233 2.041518 1
-0.583859 0.7162679 2.004285 2
-0.5992706 0.8646387 1.999829 3
-0.7500122 0.6076424 2.009245 4
-0.7877579 0.3535881 2.021114 5
-0.7827601 0.1532984 1.979176 6
-0.7721907 0.1171016 1.983836 7
-0.4268432 0.6009459 2.01512 8
-0.3858786 0.3523153 2.032896 9
-0.3783116 0.1526162 1.986549 10
-0.3945197 0.1088418 1.992758 11
-0.655799 0.1333445 2.029012 12
-0.6453148 -0.2153996 2.141613 13
-0.6284224 -0.5290486 2.221502 14
-0.6229497 -0.5971425 2.159466 15
-0.5163694 0.1339805 2.041763 16
-0.5298941 -0.2289196 2.159482 17
-0.5490237 -0.5506351 2.236775 18
-0.5451508 -0.5927165 2.155991 19
-0.5863327 0.6466327 2.01544 20
-0.7830173 0.06651709 1.997498 21
-0.8127921 0.1120151 1.979664 22
-0.3883151 0.02461182 2.00569 23
-0.4342098 0.1026154 1.963474 24
-0.5949886 0.1358421 2.069577 0
-0.5910432 0.4317655 2.042409 1
-0.5836293 0.7166575 2.004973 2
-0.5990103 0.8646449 2.000041 3
-0.7501217 0.6081721 2.010065 4
-0.7875388 0.3535526 2.021115 5
-0.7825463 0.1532324 1.979364 6
-0.7723925 0.1171478 1.985048 7
-0.4267699 0.6008674 2.015008 8
-0.3845507 0.35206 2.035736 9
-0.3752009 0.1527147 1.987861 10
-0.3934773 0.1071425 1.995792 11
-0.6551165 0.1335486 2.030057 12
-0.6453621 -0.2163774 2.141697 13
-0.62843 -0.5291694 2.221342 14
-0.6252198 -0.5954682 2.162467 15
-0.515789 0.1337891 2.042996 16
-0.5296988 -0.2294187 2.1598 17
-0.5496655 -0.553004 2.238155 18
-0.5448995 -0.5929852 2.155296 19
-0.5860533 0.6469942 2.01618 20
-0.7852588 0.06271096 1.998211 21
-0.813534 0.09903181 1.988 22
-0.3873321 0.01875607 2.009501 23
-0.431848 0.1003981 1.966687 24
-0.5937814 0.13567 2.070498 0
-0.590364 0.4319014 2.043217 1
-0.5833578 0.7170047 2.005718 2
-0.5987564 0.8648771 2.000588 3
-0.750213 0.6086176 2.010891 4
-0.7874562 0.3535266 2.021214 5
-0.7822182 0.1531502 1.979824 6
-0.7721535 0.1173919 1.985555 7
-0.4267127 0.600852 2.014921 8
-0.3838321 0.3508034 2.038253 9
-0.3731539 0.1518237 1.988851 10
-0.3894955 0.1040534 1.999107 11
-0.6536926 0.1334892 2.031064 12
-0.646245 -0.2163378 2.141218 13
-0.6286532 -0.5292633 2.221454 14
-0.6246432 -0.5953844 2.162206 15
-0.5148196 0.1335272 2.043834 16
-0.5295463 -0.2293606 2.159719 17
-0.5497712 -0.5545472 2.238601 18
-0.5446633 -0.5934221 2.154733 19
-0.5856893 0.6472937 2.016933 20
-0.7809 0.06685349 1.998659 21
-0.8131239 0.1014786 1.983899 22
-0.3836555 0.0246642 2.009696 23
-0.4274775 0.1061247 1.971763 24
-0.5937814 0.13567 2.070498 0
-0.590364 0.4319014 2.043217 1
-0.5833578 0.7170047 2.005718 2
-0.5987564 0.8648771 2.000588 3
-0.750213 0.6086176 2.010891 4
-0.7874562 0.3535266 2.021214 5
-0.7822182 0.1531502 1.979824 6
-0.7721535 0.1173919 1.985555 7
-0.4267127 0.600852 2.014921 8
-0.3838321 0.3508034 2.038253 9
-0.3731539 0.1518237 1.988851 10
-0.3894955 0.1040534 1.999107 11
-0.6536926 0.1334892 2.031064 12
-0.646245 -0.2163378 2.141218 13
-0.6286532 -0.5292633 2.221454 14
-0.6246432 -0.5953844 2.162206 15
-0.5148196 0.1335272 2.043834 16
-0.5295463 -0.2293606 2.159719 17
-0.5497712 -0.5545472 2.238601 18
-0.5446633 -0.5934221 2.154733 19
-0.5856893 0.6472937 2.016933 20
-0.7809 0.06685349 1.998659 21
-0.8131239 0.1014786 1.983899 22
-0.3836555 0.0246642 2.009696 23
-0.4274775 0.1061247 1.971763 24
-0.5937308 0.1355282 2.070791 0
-0.5902194 0.4318451 2.04355 1
-0.5831501 0.717033 2.006078 2
-0.5987303 0.8652633 2.001139 3
-0.7502211 0.6088392 2.011296 4
-0.7872011 0.3534739 2.021279 5
-0.781987 0.1530504 1.980182 6
-0.7718401 0.1169958 1.985968 7
-0.4266425 0.6007632 2.014881 8
-0.3834261 0.3501819 2.039674 9
-0.371916 0.1512791 1.990109 10
-0.3889492 0.102791 2.001749 11
-0.6535919 0.1334063 2.031608 12
-0.6461787 -0.2163073 2.141037 13
-0.6301247 -0.5293859 2.22205 14
-0.6247657 -0.5954531 2.162201 15
-0.5148066 0.133348 2.043976 16
-0.5295008 -0.2293431 2.159741 17
-0.549718 -0.553966 2.2384 18
-0.5459509 -0.5935666 2.155271 19
-0.5854949 0.6473024 2.017291 20
-0.7811429 0.06683752 1.999153 21
-0.8134632 0.1194837 1.979778 22
-0.3814837 0.01984629 2.014199 23
-0.4272514 0.09611876 1.975823 24
-0.5937308 0.1355282 2.070791 0
-0.5902194 0.4318451 2.04355 1
-0.5831501 0.717033 2.006078 2
-0.5987303 0.8652633 2.001139 3
-0.7502211 0.6088392 2.011296 4
-0.7872011 0.3534739 2.021279 5
-0.781987 0.1530504 1.980182 6
-0.7718401 0.1169958 1.985968 7
-0.4266425 0.6007632 2.014881 8
-0.3834261 0.3501819 2.039674 9
-0.371916 0.1512791 1.990109 10
-0.3889492 0.102791 2.001749 11
-0.6535919 0.1334063 2.031608 12
-0.6461787 -0.2163073 2.141037 13
-0.6301247 -0.5293859 2.22205 14
-0.6247657 -0.5954531 2.162201 15
-0.5148066 0.133348 2.043976 16
-0.5295008 -0.2293431 2.159741 17
-0.549718 -0.553966 2.2384 18
-0.5459509 -0.5935666 2.155271 19
-0.5854949 0.6473024 2.017291 20
-0.7811429 0.06683752 1.999153 21
-0.8134632 0.1194837 1.979778 22
-0.3814837 0.01984629 2.014199 23
-0.4272514 0.09611876 1.975823 24
-0.5937308 0.1355282 2.070791 0
-0.5902194 0.4318451 2.04355 1
-0.5831501 0.717033 2.006078 2
-0.5987303 0.8652633 2.001139 3
-0.7502211 0.6088392 2.011296 4
-0.7872011 0.3534739 2.021279 5
-0.781987 0.1530504 1.980182 6
-0.7718401 0.1169958 1.985968 7
-0.4266425 0.6007632 2.014881 8
-0.3834261 0.3501819 2.039674 9
-0.371916 0.1512791 1.990109 10
-0.3889492 0.102791 2.001749 11
-0.6535919 0.1334063 2.031608 12
-0.6461787 -0.2163073 2.141037 13
-0.6301247 -0.5293859 2.22205 14
-0.6247657 -0.5954531 2.162201 15
-0.5148066 0.133348 2.043976 16
-0.5295008 -0.2293431 2.159741 17
-0.549718 -0.553966 2.2384 18
-0.5459509 -0.5935666 2.155271 19
-0.5854949 0.6473024 2.017291 20
-0.7811429 0.06683752 1.999153 21
-0.8134632 0.1194837 1.979778 22
-0.3814837 0.01984629 2.014199 23
-0.4272514 0.09611876 1.975823 24
-0.5929569 0.1355862 2.07176 0
-0.5897728 0.4323711 2.04483 1
-0.5831885 0.7181648 2.007811 2
-0.5984557 0.8668521 2.003718 3
-0.7503124 0.6100077 2.012758 4
-0.7876642 0.3551261 2.024122 5
-0.7812737 0.1551104 1.980621 6
-0.7710899 0.1187534 1.986023 7
-0.426424 0.6005372 2.014995 8
-0.381946 0.348163 2.041517 9
-0.3660271 0.148162 1.999501 10
-0.3826096 0.09838013 2.009553 11
-0.6527413 0.1336589 2.032569 12
-0.6460286 -0.2107859 2.137249 13
-0.6308471 -0.5299425 2.223242 14
-0.6234845 -0.5962492 2.161572 15
-0.5141433 0.1332213 2.044949 16
-0.5295044 -0.2317403 2.161407 17
-0.5507456 -0.5543144 2.238485 18
-0.5463989 -0.5944138 2.155786 19
-0.5853915 0.6482711 2.018903 20
-0.776351 0.06866346 2.003139 21
-0.8126713 0.1079895 1.982068 22
-0.3753742 0.0137156 2.026376 23
-0.4231147 0.0918021 1.984682 24
-0.5929569 0.1355862 2.07176 0
-0.5897728 0.4323711 2.04483 1
-0.5831885 0.7181648 2.007811 2
-0.5984557 0.8668521 2.003718 3
-0.7503124 0.6100077 2.012758 4
-0.7876642 0.3551261 2.024122 5
-0.7812737 0.1551104 1.980621 6
-0.7710899 0.1187534 1.986023 7
-0.426424 0.6005372 2.014995 8
-0.381946 0.348163 2.041517 9
-0.3660271 0.148162 1.999501 10
-0.3826096 0.09838013 2.009553 11
-0.6527413 0.1336589 2.032569 12
-0.6460286 -0.2107859 2.137249 13
-0.6308471 -0.5299425 2.223242 14
-0.6234845 -0.5962492 2.161572 15
-0.5141433 0.1332213 2.044949 16
-0.5295044 -0.2317403 2.161407 17
-0.5507456 -0.5543144 2.238485 18
-0.5463989 -0.5944138 2.155786 19
-0.5853915 0.6482711 2.018903 20
-0.776351 0.06866346 2.003139 21
-0.8126713 0.1079895 1.982068 22
-0.3753742 0.0137156 2.026376 23
-0.4231147 0.0918021 1.984682 24
-0.5929569 0.1355862 2.07176 0
-0.5897728 0.4323711 2.04483 1
-0.5831885 0.7181648 2.007811 2
-0.5984557 0.8668521 2.003718 3
-0.7503124 0.6100077 2.012758 4
-0.7876642 0.3551261 2.024122 5
-0.7812737 0.1551104 1.980621 6
