   X       Y         Z      JointType
-0.2561352 -0.02265711 1.820794 20
-0.4805705 -0.6121233 1.60418 21
-0.4403891 -0.5428255 1.62925 22
-0.005571034 -0.5887158 1.64375 23
-0.03405721 -0.5146725 1.698778 24
-0.2759714 -0.5428162 1.726883 0
-0.2656376 -0.2422702 1.785915 1
-0.2537173 0.04811964 1.829177 2
-0.2552771 0.1614655 1.865099 3
-0.4035773 -0.07046146 1.78852 4
-0.4729592 -0.3084553 1.745717 5
-0.4893655 -0.4846724 1.6386 6
-0.4862465 -0.5319464 1.626736 7
-0.08905594 -0.08983844 1.836567 8
-0.04056107 -0.3109096 1.79548 9
-8.16264E-05 -0.4850381 1.690703 10
-0.005250399 -0.5157205 1.661866 11
-0.3426519 -0.5265557 1.684176 12
-0.3292437 -0.8120836 1.657253 13
-0.1986668 -0.5378301 1.701463 16
-0.188934 -0.8279144 1.658095 17
-0.2569782 -0.02320012 1.820794 20
-0.4802349 -0.6134297 1.606262 21
-0.4310862 -0.5027912 1.641445 22
-0.005610979 -0.5911168 1.64969 23
-0.02516412 -0.5313222 1.6965 24
-0.2762441 -0.5431864 1.726645 0
-0.2657529 -0.2429498 1.785921 1
-0.2536117 0.04708943 1.829582 2
-0.2571051 0.1610468 1.865664 3
-0.4041097 -0.07104792 1.78903 4
-0.4729 -0.308662 1.746135 5
-0.4887341 -0.4850032 1.639233 6
-0.4853458 -0.5320403 1.626779 7
-0.08923654 -0.08978136 1.836497 8
-0.04094246 -0.3109771 1.794641 9
-0.0002506596 -0.48513 1.690097 10
-0.004460475 -0.513642 1.661097 11
-0.3429901 -0.5272195 1.684119 12
-0.3294661 -0.8132328 1.657408 13
-0.1988925 -0.5379999 1.701104 16
-0.1893757 -0.8275302 1.657546 17
-0.2569368 -0.02415297 1.821094 20
-0.4801897 -0.6133604 1.606085 21
-0.431847 -0.5100257 1.637914 22
-0.003661724 -0.5900227 1.648052 23
-0.02172008 -0.5379414 1.6956 24
-0.2762441 -0.5431864 1.726645 0
-0.2657529 -0.2429498 1.785921 1
-0.2536117 0.04708943 1.829582 2
-0.2571051 0.1610468 1.865664 3
-0.4041097 -0.07104792 1.78903 4
-0.4729 -0.308662 1.746135 5
-0.4887341 -0.4850032 1.639233 6
-0.4853458 -0.5320403 1.626779 7
-0.08923654 -0.08978136 1.836497 8
-0.04094246 -0.3109771 1.794641 9
-0.0002506596 -0.48513 1.690097 10
-0.004460475 -0.513642 1.661097 11
-0.3429901 -0.5272195 1.684119 12
-0.3294661 -0.8132328 1.657408 13
-0.1988925 -0.5379999 1.701104 16
-0.1893757 -0.8275302 1.657546 17
-0.2569368 -0.02415297 1.821094 20
-0.4801897 -0.6133604 1.606085 21
-0.431847 -0.5100257 1.637914 22
-0.003661724 -0.5900227 1.648052 23
-0.02172008 -0.5379414 1.6956 24
-0.2765642 -0.5434433 1.726203 0
-0.2658111 -0.2434406 1.785779 1
-0.2533917 0.04625311 1.82976 2
-0.2584729 0.1605523 1.865808 3
-0.4043764 -0.07128704 1.789343 4
-0.4727943 -0.3087256 1.746334 5
-0.4882216 -0.4851283 1.639536 6
-0.4835789 -0.5324489 1.625838 7
-0.09167749 -0.08950108 1.835832 8
-0.04114989 -0.3111667 1.793799 9
-0.0003981555 -0.4850692 1.688884 10
-0.001867797 -0.5173504 1.659868 11
-0.3433455 -0.5276772 1.683899 12
-0.329601 -0.8141748 1.657389 13
-0.1991821 -0.5380442 1.700402 16
-0.1893494 -0.8273907 1.657227 17
-0.2567989 -0.0248979 1.821183 20
-0.4776319 -0.6123545 1.604851 21
-0.428838 -0.5040657 1.6374 22
-0.002375248 -0.5917565 1.64676 23
0.007918034 -0.5893687 1.671667 24
-0.2765642 -0.5434433 1.726203 0
-0.2658111 -0.2434406 1.785779 1
-0.2533917 0.04625311 1.82976 2
-0.2584729 0.1605523 1.865808 3
-0.4043764 -0.07128704 1.789343 4
-0.4727943 -0.3087256 1.746334 5
-0.4882216 -0.4851283 1.639536 6
-0.4835789 -0.5324489 1.625838 7
-0.09167749 -0.08950108 1.835832 8
-0.04114989 -0.3111667 1.793799 9
-0.0003981555 -0.4850692 1.688884 10
-0.001867797 -0.5173504 1.659868 11
-0.3433455 -0.5276772 1.683899 12
-0.329601 -0.8141748 1.657389 13
-0.1991821 -0.5380442 1.700402 16
-0.1893494 -0.8273907 1.657227 17
-0.2567989 -0.0248979 1.821183 20
-0.4776319 -0.6123545 1.604851 21
-0.428838 -0.5040657 1.6374 22
-0.002375248 -0.5917565 1.64676 23
0.007918034 -0.5893687 1.671667 24
-0.2765642 -0.5434433 1.726203 0
-0.2658111 -0.2434406 1.785779 1
-0.2533917 0.04625311 1.82976 2
-0.2584729 0.1605523 1.865808 3
-0.4043764 -0.07128704 1.789343 4
-0.4727943 -0.3087256 1.746334 5
-0.4882216 -0.4851283 1.639536 6
-0.4835789 -0.5324489 1.625838 7
-0.09167749 -0.08950108 1.835832 8
-0.04114989 -0.3111667 1.793799 9
-0.0003981555 -0.4850692 1.688884 10
-0.001867797 -0.5173504 1.659868 11
-0.3433455 -0.5276772 1.683899 12
-0.329601 -0.8141748 1.657389 13
-0.1991821 -0.5380442 1.700402 16
-0.1893494 -0.8273907 1.657227 17
-0.2567989 -0.0248979 1.821183 20
-0.4776319 -0.6123545 1.604851 21
-0.428838 -0.5040657 1.6374 22
-0.002375248 -0.5917565 1.64676 23
0.007918034 -0.5893687 1.671667 24
-0.2766978 -0.5435297 1.726142 0
-0.2659385 -0.2438106 1.78589 1
-0.2534701 0.04554015 1.830227 2
-0.2598979 0.1603314 1.866086 3
-0.4046683 -0.07156534 1.789835 4
-0.4727992 -0.3089442 1.747238 5
-0.4879695 -0.485171 1.64014 6
-0.4844619 -0.5335228 1.629562 7
-0.09169664 -0.08947995 1.835843 8
-0.0412415 -0.31112 1.793641 9
-0.0004938402 -0.4850847 1.68891 10
-0.002034168 -0.5186965 1.662835 11
-0.3435147 -0.5278462 1.683963 12
-0.3295849 -0.8142505 1.657383 13
