   X       Y         Z      JointType
18.78554 -3.404712 16.66667 16
19.02717 -7.366531 16.66667 17
19.40704 -10.17685 17.5 18
19.56382 -10.71834 18 19
17.84778 3.060487 16.66667 20
14.95585 -4.460574 16.66667 21
14.85307 -3.549759 16.66667 22
20.62471 -4.546759 16.66667 23
20.38184 -3.729036 16.66667 24
17.89811 -3.412019 16.66667 0
17.88345 0.314241 16.66667 1
17.86771 3.965748 16.66667 2
17.88617 5.5321 16.66667 3
15.88574 2.49149 16.66667 4
15.32743 -0.4857987 16.66667 5
14.96415 -2.996916 16.66667 6
14.97906 -3.544662 16.66667 7
19.85607 2.471373 16.66667 8
20.39918 -0.4268707 16.66667 9
20.63222 -2.876909 16.66667 10
20.57547 -3.596982 16.66667 11
16.99616 -3.417744 16.66667 12
16.9394 -7.341673 16.66667 13
17.47239 -10.06951 17.5 14
17.41766 -10.7001 18 15
18.79847 -3.405855 16.66667 16
19.04029 -7.370646 16.66667 17
19.41219 -10.18252 17.5 18
19.56564 -10.71409 18 19
17.87172 3.060618 16.66667 20
14.9619 -4.462947 16.66667 21
14.9156 -3.585948 16.66667 22
20.64458 -4.570901 16.66667 23
20.41183 -3.721849 16.66667 24
17.90119 -3.407248 16.66667 0
17.88353 0.3160019 16.66667 1
17.86535 3.96081 16.66667 2
17.88805 5.526988 16.66667 3
15.89161 2.487488 16.66667 4
15.33799 -0.4754395 16.66667 5
14.97964 -2.992558 16.66667 6
15.01309 -3.533553 16.66667 7
19.85762 2.470471 16.66667 8
20.4012 -0.4322754 16.66667 9
20.65305 -2.888823 16.66667 10
20.6008 -3.606969 16.66667 11
16.99978 -3.413882 16.66667 12
16.92735 -7.344069 16.66667 13
17.47057 -10.0628 17.5 14
17.41922 -10.69992 18 15
18.80054 -3.400224 16.66667 16
19.09983 -7.356483 16.66667 17
19.41561 -10.18493 17.5 18
19.56651 -10.71467 18 19
17.86992 3.057671 16.66667 20
14.96818 -4.415732 16.66667 21
14.9678 -3.543234 16.66667 22
20.66702 -4.57706 16.66667 23
20.42695 -3.653024 16.66667 24
17.90494 -3.40717 16.66667 0
17.88721 0.3159927 16.66667 1
17.86854 3.96041 16.66667 2
17.88981 5.526116 16.66667 3
15.90411 2.490115 16.66667 4
15.35041 -0.4641868 16.66667 5
14.91446 -2.897704 16.66667 6
14.89095 -3.415396 16.66667 7
19.85699 2.472104 16.66667 8
20.40477 -0.4344131 16.66667 9
20.66397 -2.890565 16.66667 10
20.61879 -3.624478 16.66667 11
17.00347 -3.413339 16.66667 12
16.93495 -7.345587 16.66667 13
17.46759 -10.06164 17.5 14
17.41912 -10.6993 18 15
18.80437 -3.40063 16.66667 16
19.10086 -7.357031 16.66667 17
19.41852 -10.18191 17.5 18
19.56713 -10.71332 18 19
17.87323 3.057396 16.66667 20
14.7874 -4.28354 16.66667 21
14.83205 -3.460225 16.66667 22
20.68295 -4.588156 16.66667 23
20.44148 -3.660709 16.66667 24
17.89229 -3.403519 16.66667 0
17.87794 0.3162987 16.66667 1
17.86248 3.95651 16.66667 2
17.88331 5.519602 16.66667 3
15.90016 2.486865 16.66667 4
15.34626 -0.4597679 16.66667 5
14.9117 -2.893111 16.66667 6
14.86422 -3.424895 16.66667 7
19.85045 2.467905 16.66667 8
20.39367 -0.4435783 16.66667 9
20.66053 -2.896059 16.66667 10
20.61245 -3.67663 16.66667 11
16.99122 -3.409256 16.66667 12
16.92166 -7.327716 16.66667 13
17.46297 -10.07583 17.5 14
17.41879 -10.69996 18 15
18.79113 -3.397697 16.66667 16
19.0605 -7.361913 16.66667 17
19.41864 -10.18188 17.5 18
19.56247 -10.71461 18 19
17.86639 3.054595 16.66667 20
14.77953 -4.308836 16.66667 21
14.82075 -3.376827 16.66667 22
20.68405 -4.618001 16.66667 23
20.44756 -3.704437 16.66667 24
17.89391 -3.404527 16.66667 0
17.87953 0.3156235 16.66667 1
17.86398 3.956199 16.66667 2
17.88537 5.519895 16.66667 3
15.90377 2.485721 16.66667 4
15.35412 -0.4628616 16.66667 5
14.93364 -2.897604 16.66667 6
14.88595 -3.425824 16.66667 7
19.85229 2.466811 16.66667 8
20.39592 -0.4455437 16.66667 9
20.68143 -2.930426 16.66667 10
20.64094 -3.688013 16.66667 11
16.9928 -3.410056 16.66667 12
16.9243 -7.335031 16.66667 13
17.45691 -10.06894 17.5 14
17.41713 -10.69323 18 15
18.79277 -3.398918 16.66667 16
19.06234 -7.376862 16.66667 17
19.42075 -10.18631 17.5 18
19.56368 -10.71422 18 19
17.86789 3.054209 16.66667 20
14.79629 -4.309756 16.66667 21
14.84076 -3.320235 16.66667 22
20.7056 -4.629668 16.66667 23
20.48695 -3.697945 16.66667 24
17.86956 -3.404561 16.66667 0
17.86352 0.313697 16.66667 1
17.85421 3.953082 16.66667 2
17.87845 5.514351 16.66667 3
15.90202 2.486475 16.66667 4
15.3314 -0.4731453 16.66667 5
14.89299 -2.883272 16.66667 6
14.80252 -3.4216 16.66667 7
19.84491 2.458486 16.66667 8
20.38461 -0.4549652 16.66667 9
20.68909 -2.962625 16.66667 10
20.66337 -3.685959 16.66667 11
16.97034 -3.408165 16.66667 12
16.90874 -7.336736 16.66667 13
17.45378 -10.03336 17.5 14
17.4154 -10.69445 18 15
18.76588 -3.401329 16.66667 16
19.04063 -7.379442 16.66667 17
19.45009 -10.18537 17.5 18
19.59711 -10.72766 18 19
17.85676 3.051324 16.66667 20
14.72877 -4.301872 16.66667 21
14.76872 -3.381537 16.66667 22
20.73264 -4.630696 16.66667 23
20.51289 -3.728703 16.66667 24
17.84599 -3.402936 16.66667 0
17.84158 0.3125572 16.66667 1
17.83557 3.949095 16.66667 2
17.868 5.508441 16.66667 3
15.88314 2.490409 16.66667 4
15.27379 -0.4474975 16.66667 5
14.76751 -2.777156 16.66667 6
14.65129 -3.270525 16.66667 7
19.83666 2.454521 16.66667 8
20.36466 -0.449173 16.66667 9
20.67834 -2.937816 16.66667 10
20.6682 -3.698186 16.66667 11
16.94698 -3.404703 16.66667 12
16.89057 -7.32397 16.66667 13
17.45265 -10.03425 17.5 14
17.41977 -10.69819 18 15
18.74205 -3.401477 16.66667 16
19.0111 -7.387465 16.66667 17
19.44703 -10.18626 17.5 18
19.5959 -10.7302 18 19
17.83707 3.048148 16.66667 20
14.56617 -4.095798 16.66667 21
14.58992 -3.288682 16.66667 22
20.74114 -4.646468 16.66667 23
20.53667 -3.729434 16.66667 24
17.8488 -3.404866 16.66667 0
17.84335 0.3100952 16.66667 1
17.83681 3.947086 16.66667 2
17.86646 5.506339 16.66667 3
15.88652 2.485371 16.66667 4
15.26956 -0.4454033 16.66667 5
14.73072 -2.774602 16.66667 6
14.62055 -3.289508 16.66667 7
19.83858 2.452896 16.66667 8
20.38054 -0.4569321 16.66667 9
20.71165 -2.925693 16.66667 10
20.69563 -3.709085 16.66667 11
16.95057 -3.405873 16.66667 12
16.8936 -7.323451 16.66667 13
17.45585 -10.03594 17.5 14
17.41748 -10.69548 18 15
18.74434 -3.404097 16.66667 16
19.01128 -7.39997 16.66667 17
19.45339 -10.18028 17.5 18
19.6003 -10.72493 18 19
17.83835 3.045964 16.66667 20
14.53183 -4.087448 16.66667 21
14.54757 -3.284921 16.66667 22
20.77669 -4.642251 16.66667 23
20.51726 -3.755487 16.66667 24
17.84462 -3.40359 16.66667 0
17.83864 0.3109177 16.66667 1
17.8313 3.947837 16.66667 2
17.86224 5.505412 16.66667 3
15.8764 2.487052 16.66667 4
15.18522 -0.393914 16.66667 5
14.6001 -2.490215 16.66667 6
14.50132 -2.920406 16.66667 7
19.8146 2.453592 16.66667 8
20.37465 -0.4521202 16.66667 9
20.71082 -2.920907 16.66667 10
20.69541 -3.710327 16.66667 11
16.94578 -3.404631 16.66667 12
16.88474 -7.31667 16.66667 13
17.45593 -10.03599 17.5 14
17.41806 -10.69541 18 15
18.74061 -3.402786 16.66667 16
18.996 -7.38504 16.66667 17
19.45402 -10.181 17.5 18
19.60036 -10.72558 18 19
17.83307 3.046679 16.66667 20
14.41461 -3.610898 16.66667 21
14.42556 -3.029082 16.66667 22
20.77354 -4.639609 16.66667 23
20.50942 -3.778008 16.66667 24
17.84369 -3.402997 16.66667 0
17.83726 0.3116608 16.66667 1
17.82931 3.948784 16.66667 2
17.86386 5.503632 16.66667 3
15.87404 2.488419 16.66667 4
15.1766 -0.3878708 16.66667 5
14.5767 -2.474582 16.66667 6
14.47276 -2.91026 16.66667 7
19.81278 2.452566 16.66667 8
20.37265 -0.4583344 16.66667 9
20.71833 -2.934422 16.66667 10
20.71357 -3.726068 16.66667 11
16.94508 -3.404099 16.66667 12
16.88437 -7.321925 16.66667 13
17.45143 -10.0359 17.5 14
17.42031 -10.6918 18 15
18.73938 -3.401965 16.66667 16
18.9734 -7.375786 16.66667 17
19.45539 -10.18349 17.5 18
19.60121 -10.72648 18 19
17.83126 3.047539 16.66667 20
14.37665 -3.610545 16.66667 21
14.3836 -3.03806 16.66667 22
20.79001 -4.640256 16.66667 23
20.55383 -3.773758 16.66667 24
17.84802 -3.402745 16.66667 0
17.84123 0.310437 16.66667 1
17.83253 3.947185 16.66667 2
17.86637 5.501867 16.66667 3
15.87687 2.488487 16.66667 4
15.16884 -0.3821396 16.66667 5
14.57239 -2.398148 16.66667 6
14.48161 -2.838463 16.66667 7
19.81691 2.450658 16.66667 8
20.38378 -0.4632309 16.66667 9
20.75409 -2.942873 16.66667 10
20.76098 -3.726321 16.66667 11
16.94956 -3.403049 16.66667 12
16.88256 -7.321428 16.66667 13
17.45216 -10.03767 17.5 14
17.41963 -10.69104 18 15
18.74348 -3.402483 16.66667 16
19.05043 -7.38188 16.66667 17
19.4654 -10.18181 17.5 18
19.60296 -10.72674 18 19
17.8347 3.045895 16.66667 20
14.41372 -3.495978 16.66667 21
14.41736 -2.859471 16.66667 22
20.83818 -4.640649 16.66667 23
20.6036 -3.755666 16.66667 24
17.84701 -3.402936 16.66667 0
17.84001 0.3099464 16.66667 1
17.83065 3.945543 16.66667 2
17.86922 5.498231 16.66667 3
15.87485 2.488248 16.66667 4
