   X       Y         Z      JointType
-0.06216989 -0.2994882 1.952023 17
-0.06361485 -0.6370707 2.052313 18
-0.05067662 -0.6791335 1.932902 19
-0.1167988 0.5227113 1.859594 20
-0.4584217 -0.07262203 1.836571 21
-0.4573789 -0.05968693 1.8446 22
0.1736464 -0.08932603 1.791186 23
0.1661002 -0.09324202 1.80575 24
-0.1265628 0.01933479 1.914584 0
-0.1212873 0.311087 1.885336 1
-0.1150917 0.591104 1.848855 2
-0.1207832 0.716159 1.862201 3
-0.2692206 0.4612692 1.832585 4
-0.3614578 0.276085 1.915968 5
-0.4188095 0.0865954 1.861484 6
-0.4480605 -0.002738794 1.834598 7
0.0334576 0.4903762 1.871216 8
0.08730111 0.2634082 1.927566 9
0.1344208 0.05001556 1.83349 10
0.1581272 -0.02464015 1.795618 11
-0.1941548 0.01791844 1.870645 12
-0.2103684 -0.3034885 1.965346 13
-0.230314 -0.6252506 2.038173 14
-0.2147923 -0.667471 1.918899 15
-0.05446478 0.01990541 1.891012 16
-0.06216989 -0.2994882 1.952023 17
-0.06361485 -0.6370707 2.052313 18
-0.05067662 -0.6791335 1.932902 19
-0.1167988 0.5227113 1.859594 20
-0.4584217 -0.07262203 1.836571 21
-0.4573789 -0.05968693 1.8446 22
0.1736464 -0.08932603 1.791186 23
0.1661002 -0.09324202 1.80575 24
-0.1269347 0.0195259 1.914781 0
-0.1214118 0.3110515 1.885226 1
-0.1152122 0.5904291 1.846664 2
-0.1210723 0.716112 1.862253 3
-0.2693093 0.4615594 1.832544 4
-0.3746756 0.282227 1.91546 5
-0.4620968 0.1058185 1.860109 6
-0.4922149 0.01488677 1.831256 7
0.03500361 0.4893429 1.86938 8
0.09963736 0.2736579 1.918616 9
0.1706377 0.06714941 1.828179 10
0.1976404 -0.01392464 1.787611 11
-0.1946711 0.0178005 1.871229 12
-0.2103405 -0.3034062 1.965395 13
-0.2302352 -0.6262522 2.038066 14
-0.2152968 -0.6686323 1.918675 15
-0.05492187 0.02054118 1.890869 16
-0.06289733 -0.2955345 1.949631 17
-0.06349639 -0.6373685 2.052847 18
-0.05114251 -0.6796037 1.933315 19
-0.1169475 0.5222993 1.858304 20
-0.5094299 -0.05757891 1.834937 21
-0.4957948 -0.02037837 1.851667 22
0.2186717 -0.07849309 1.785757 23
0.2259209 -0.06885532 1.799834 24
-0.1269347 0.0195259 1.914781 0
-0.1214118 0.3110515 1.885226 1
-0.1152122 0.5904291 1.846664 2
-0.1210723 0.716112 1.862253 3
-0.2693093 0.4615594 1.832544 4
-0.3746756 0.282227 1.91546 5
-0.4620968 0.1058185 1.860109 6
-0.4922149 0.01488677 1.831256 7
0.03500361 0.4893429 1.86938 8
0.09963736 0.2736579 1.918616 9
0.1706377 0.06714941 1.828179 10
0.1976404 -0.01392464 1.787611 11
-0.1946711 0.0178005 1.871229 12
-0.2103405 -0.3034062 1.965395 13
-0.2302352 -0.6262522 2.038066 14
-0.2152968 -0.6686323 1.918675 15
-0.05492187 0.02054118 1.890869 16
-0.06289733 -0.2955345 1.949631 17
-0.06349639 -0.6373685 2.052847 18
-0.05114251 -0.6796037 1.933315 19
-0.1169475 0.5222993 1.858304 20
-0.5094299 -0.05757891 1.834937 21
-0.4957948 -0.02037837 1.851667 22
0.2186717 -0.07849309 1.785757 23
0.2259209 -0.06885532 1.799834 24
-0.1271785 0.01981816 1.914865 0
-0.1215652 0.3110971 1.885097 1
-0.1155265 0.5901962 1.84547 2
-0.1223831 0.715937 1.862029 3
-0.2688359 0.4624857 1.834828 4
-0.4013622 0.3010148 1.914232 5
-0.5143603 0.1394481 1.861898 6
-0.5587429 0.05110196 1.828671 7
0.03561629 0.4892043 1.868655 8
0.1148128 0.2802461 1.916325 9
0.2173273 0.09488763 1.819668 10
0.2536012 0.01262259 1.776055 11
-0.194989 0.01813498 1.871466 12
-0.2104062 -0.3028949 1.964778 13
-0.2302508 -0.6260912 2.038033 14
-0.2162259 -0.6685936 1.91846 15
-0.0550989 0.02081441 1.890783 16
-0.06294915 -0.295145 1.94939 17
-0.06307355 -0.6376165 2.053088 18
-0.05164044 -0.6799695 1.933374 19
-0.1172132 0.5221666 1.857486 20
-0.5868176 -0.02161271 1.823972 21
-0.5852919 -0.0052816 1.861 22
0.2808265 -0.04890465 1.765644 23
0.2730532 -0.01487045 1.826143 24
-0.1276331 0.02074294 1.915107 0
-0.1224339 0.3122858 1.887393 1
-0.1169529 0.5916743 1.851312 2
-0.1234291 0.7159466 1.862211 3
-0.268656 0.4647987 1.837794 4
-0.4082225 0.3068435 1.914909 5
-0.5337106 0.1555219 1.861157 6
-0.5907851 0.07081696 1.827345 7
0.02865948 0.4959628 1.872533 8
0.1249216 0.2840545 1.919184 9
0.2288419 0.1024662 1.817078 10
0.2818783 0.02986237 1.770241 11
-0.1953462 0.01885591 1.871986 12
-0.2104104 -0.3027754 1.964713 13
-0.2300107 -0.6271688 2.038233 14
-0.215495 -0.6694127 1.918525 15
-0.05565484 0.02202779 1.89062 16
-0.06255442 -0.2946619 1.949127 17
-0.06225041 -0.6372756 2.054555 18
-0.05033562 -0.6793956 1.9347 19
-0.1184546 0.5235347 1.862176 20
-0.6237637 -0.00148239 1.822889 21
-0.6212409 0.01221051 1.852143 22
0.3128977 -0.03223108 1.761428 23
0.3050179 0.01040214 1.8318 24
-0.1276331 0.02074294 1.915107 0
-0.1224339 0.3122858 1.887393 1
-0.1169529 0.5916743 1.851312 2
